x,y,z,v
674644.456, 2735985.551, 2.2, 17.244
674634.001, 2735686.011, 1.4, 17.82
675175.904, 2735689.56, 0.7, 24.012
674334.007, 2735386.004, 1.6, 18.864
674933.99, 2735385.998, 1, 72
675836.728, 2735382.69, 0.6, 33.912
676134.001, 2734785.983, 0.55, 31.608
674634.003, 2734485.995, 1.4, 22.284
674334.008, 2734186.002, 0.9, 24.624
675533.997, 2734185.987, 1.4, 19.584
674633.999, 2733885.984, 2.05, 16.164
674034.002, 2733585.997, 1.65, 159.84
674567.92, 2733666.091, 1.1, 27.396
676132.684, 2733584.758, 1, 43.56
674634, 2733285.994, 1.5, 21.096
675234.005, 2733285.984, 0.5, 285.48
674586.23, 2732971.904, 1.2, 17.82

